S.No,Category (Landing Page),Sub Category,Product / Service Name,Type,Unit Mapping,Alt / Secondary Units,Quantity Parameters
26543,Rice & Pulses,Chana Dal,Rice & Pulses Management Service - Chana Dal Option 4,Service,Per Project,Contract,1
26544,Rice & Pulses,Chana Dal,Rice & Pulses Support Service - Chana Dal Option 5,Service,Per Project,Contract,1
26545,Rice & Pulses,Moong Dal,Rice & Pulses Product B - Moong Dal Type 1,Product,Service,Contract,230
26546,Rice & Pulses,Moong Dal,Rice & Pulses Product C - Moong Dal Type 2,Product,Ton,MT,235
26547,Rice & Pulses,Moong Dal,Rice & Pulses Item Premium - Moong Dal Type 3,Product,Pack,Carton,240
26548,Rice & Pulses,Moong Dal,Rice & Pulses Item Standard - Moong Dal Type 4,Product,Gram,Kg,245
26549,Rice & Pulses,Moong Dal,Rice & Pulses Item Economy - Moong Dal Type 5,Product,Can,Pallet,250
26550,Rice & Pulses,Moong Dal,Rice & Pulses Model X1 - Moong Dal Type 6,Product,Book,Box,5
26551,Rice & Pulses,Moong Dal,Rice & Pulses Model X2 - Moong Dal Type 7,Product,Certificate,Lot,10
26552,Rice & Pulses,Moong Dal,Rice & Pulses Model Pro - Moong Dal Type 8,Product,Credit,Pack,15
26553,Rice & Pulses,Moong Dal,Rice & Pulses Solution Basic - Moong Dal Type 9,Product,Per Filing,Annual,20
26554,Rice & Pulses,Moong Dal,Rice & Pulses Solution Advanced - Moong Dal Type 10,Product,Per Month,Annual,25
26555,Rice & Pulses,Moong Dal,Rice & Pulses Solution Enterprise - Moong Dal Type 11,Product,Per Hour,Monthly,30
26556,Rice & Pulses,Moong Dal,Rice & Pulses Pack Small - Moong Dal Type 12,Product,Per Project,Contract,35
26557,Rice & Pulses,Moong Dal,Rice & Pulses Pack Medium - Moong Dal Type 13,Product,Per Acre,Per Season,40
26558,Rice & Pulses,Moong Dal,Rice & Pulses Pack Large - Moong Dal Type 14,Product,Per Day,Monthly,45
26559,Rice & Pulses,Moong Dal,Rice & Pulses Kit Starter - Moong Dal Type 15,Product,Per Sample,Batch,50
26560,Rice & Pulses,Moong Dal,Rice & Pulses Kit Professional - Moong Dal Type 16,Product,Per Trip,Contract,55
26561,Rice & Pulses,Moong Dal,Rice & Pulses Standard Service - Moong Dal Option 1,Service,Per Project,Contract,1
26562,Rice & Pulses,Moong Dal,Rice & Pulses Premium Service - Moong Dal Option 2,Service,Per Project,Contract,1
26563,Rice & Pulses,Moong Dal,Rice & Pulses Consultation - Moong Dal Option 3,Service,Per Project,Contract,1
26564,Rice & Pulses,Moong Dal,Rice & Pulses Management Service - Moong Dal Option 4,Service,Per Project,Contract,1
26565,Rice & Pulses,Moong Dal,Rice & Pulses Support Service - Moong Dal Option 5,Service,Per Project,Contract,1
26566,Rice & Pulses,Masoor Dal,Rice & Pulses Product B - Masoor Dal Type 1,Product,Sqmt,Acre,85
26567,Rice & Pulses,Masoor Dal,Rice & Pulses Product C - Masoor Dal Type 2,Product,Kg,Ton,90
26568,Rice & Pulses,Masoor Dal,Rice & Pulses Item Premium - Masoor Dal Type 3,Product,Litre,Barrel,95
26569,Rice & Pulses,Masoor Dal,Rice & Pulses Item Standard - Masoor Dal Type 4,Product,Piece,Dozen,100
26570,Rice & Pulses,Masoor Dal,Rice & Pulses Item Economy - Masoor Dal Type 5,Product,Set,Lot,105
26571,Rice & Pulses,Masoor Dal,Rice & Pulses Model X1 - Masoor Dal Type 6,Product,Meter,Roll,110
26572,Rice & Pulses,Masoor Dal,Rice & Pulses Model X2 - Masoor Dal Type 7,Product,Box,Carton,115
26573,Rice & Pulses,Masoor Dal,Rice & Pulses Model Pro - Masoor Dal Type 8,Product,Bag,Pallet,120
26574,Rice & Pulses,Masoor Dal,Rice & Pulses Solution Basic - Masoor Dal Type 9,Product,Unit,Lot,125
26575,Rice & Pulses,Masoor Dal,Rice & Pulses Solution Advanced - Masoor Dal Type 10,Product,License,Subscription,130
26576,Rice & Pulses,Masoor Dal,Rice & Pulses Solution Enterprise - Masoor Dal Type 11,Product,Service,Contract,135
26577,Rice & Pulses,Masoor Dal,Rice & Pulses Pack Small - Masoor Dal Type 12,Product,Ton,MT,140
26578,Rice & Pulses,Masoor Dal,Rice & Pulses Pack Medium - Masoor Dal Type 13,Product,Pack,Carton,145
26579,Rice & Pulses,Masoor Dal,Rice & Pulses Pack Large - Masoor Dal Type 14,Product,Gram,Kg,150
26580,Rice & Pulses,Masoor Dal,Rice & Pulses Kit Starter - Masoor Dal Type 15,Product,Can,Pallet,155
26581,Rice & Pulses,Masoor Dal,Rice & Pulses Kit Professional - Masoor Dal Type 16,Product,Book,Box,160
26582,Rice & Pulses,Masoor Dal,Rice & Pulses Standard Service - Masoor Dal Option 1,Service,Per Project,Contract,1
26583,Rice & Pulses,Masoor Dal,Rice & Pulses Premium Service - Masoor Dal Option 2,Service,Per Project,Contract,1
26584,Rice & Pulses,Masoor Dal,Rice & Pulses Consultation - Masoor Dal Option 3,Service,Per Project,Contract,1
26585,Rice & Pulses,Masoor Dal,Rice & Pulses Management Service - Masoor Dal Option 4,Service,Per Project,Contract,1
26586,Rice & Pulses,Masoor Dal,Rice & Pulses Support Service - Masoor Dal Option 5,Service,Per Project,Contract,1
26587,Rice & Pulses,Urad Dal,Rice & Pulses Product B - Urad Dal Type 1,Product,Per Project,Contract,190
26588,Rice & Pulses,Urad Dal,Rice & Pulses Product C - Urad Dal Type 2,Product,Per Acre,Per Season,195
26589,Rice & Pulses,Urad Dal,Rice & Pulses Item Premium - Urad Dal Type 3,Product,Per Day,Monthly,200
26590,Rice & Pulses,Urad Dal,Rice & Pulses Item Standard - Urad Dal Type 4,Product,Per Sample,Batch,205
26591,Rice & Pulses,Urad Dal,Rice & Pulses Item Economy - Urad Dal Type 5,Product,Per Trip,Contract,210
26592,Rice & Pulses,Urad Dal,Rice & Pulses Model X1 - Urad Dal Type 6,Product,Per Formula,Contract,215
26593,Rice & Pulses,Urad Dal,Rice & Pulses Model X2 - Urad Dal Type 7,Product,Per Animal,Annual,220
26594,Rice & Pulses,Urad Dal,Rice & Pulses Model Pro - Urad Dal Type 8,Product,Sheet,Box,225
26595,Rice & Pulses,Urad Dal,Rice & Pulses Solution Basic - Urad Dal Type 9,Product,Roll,Pallet,230
26596,Rice & Pulses,Urad Dal,Rice & Pulses Solution Advanced - Urad Dal Type 10,Product,Sqft,Sqmt,235
26597,Rice & Pulses,Urad Dal,Rice & Pulses Solution Enterprise - Urad Dal Type 11,Product,Sqmt,Acre,240
26598,Rice & Pulses,Urad Dal,Rice & Pulses Pack Small - Urad Dal Type 12,Product,Kg,Ton,245
26599,Rice & Pulses,Urad Dal,Rice & Pulses Pack Medium - Urad Dal Type 13,Product,Litre,Barrel,250
26600,Rice & Pulses,Urad Dal,Rice & Pulses Pack Large - Urad Dal Type 14,Product,Piece,Dozen,5
26601,Rice & Pulses,Urad Dal,Rice & Pulses Kit Starter - Urad Dal Type 15,Product,Set,Lot,10
26602,Rice & Pulses,Urad Dal,Rice & Pulses Kit Professional - Urad Dal Type 16,Product,Meter,Roll,15
26603,Rice & Pulses,Urad Dal,Rice & Pulses Standard Service - Urad Dal Option 1,Service,Per Project,Contract,1
26604,Rice & Pulses,Urad Dal,Rice & Pulses Premium Service - Urad Dal Option 2,Service,Per Project,Contract,1
26605,Rice & Pulses,Urad Dal,Rice & Pulses Consultation - Urad Dal Option 3,Service,Per Project,Contract,1
26606,Rice & Pulses,Urad Dal,Rice & Pulses Management Service - Urad Dal Option 4,Service,Per Project,Contract,1
26607,Rice & Pulses,Urad Dal,Rice & Pulses Support Service - Urad Dal Option 5,Service,Per Project,Contract,1
26608,Rice & Pulses,Rajma,Rice & Pulses Product B - Rajma Type 1,Product,Ton,MT,45
26609,Rice & Pulses,Rajma,Rice & Pulses Product C - Rajma Type 2,Product,Pack,Carton,50
26610,Rice & Pulses,Rajma,Rice & Pulses Item Premium - Rajma Type 3,Product,Gram,Kg,55
26611,Rice & Pulses,Rajma,Rice & Pulses Item Standard - Rajma Type 4,Product,Can,Pallet,60
26612,Rice & Pulses,Rajma,Rice & Pulses Item Economy - Rajma Type 5,Product,Book,Box,65
26613,Rice & Pulses,Rajma,Rice & Pulses Model X1 - Rajma Type 6,Product,Certificate,Lot,70
26614,Rice & Pulses,Rajma,Rice & Pulses Model X2 - Rajma Type 7,Product,Credit,Pack,75
26615,Rice & Pulses,Rajma,Rice & Pulses Model Pro - Rajma Type 8,Product,Per Filing,Annual,80
26616,Rice & Pulses,Rajma,Rice & Pulses Solution Basic - Rajma Type 9,Product,Per Month,Annual,85
26617,Rice & Pulses,Rajma,Rice & Pulses Solution Advanced - Rajma Type 10,Product,Per Hour,Monthly,90
26618,Rice & Pulses,Rajma,Rice & Pulses Solution Enterprise - Rajma Type 11,Product,Per Project,Contract,95
26619,Rice & Pulses,Rajma,Rice & Pulses Pack Small - Rajma Type 12,Product,Per Acre,Per Season,100
26620,Rice & Pulses,Rajma,Rice & Pulses Pack Medium - Rajma Type 13,Product,Per Day,Monthly,105
26621,Rice & Pulses,Rajma,Rice & Pulses Pack Large - Rajma Type 14,Product,Per Sample,Batch,110
26622,Rice & Pulses,Rajma,Rice & Pulses Kit Starter - Rajma Type 15,Product,Per Trip,Contract,115
26623,Rice & Pulses,Rajma,Rice & Pulses Kit Professional - Rajma Type 16,Product,Per Formula,Contract,120
26624,Rice & Pulses,Rajma,Rice & Pulses Standard Service - Rajma Option 1,Service,Per Project,Contract,1
26625,Rice & Pulses,Rajma,Rice & Pulses Premium Service - Rajma Option 2,Service,Per Project,Contract,1
26626,Rice & Pulses,Rajma,Rice & Pulses Consultation - Rajma Option 3,Service,Per Project,Contract,1
26627,Rice & Pulses,Rajma,Rice & Pulses Management Service - Rajma Option 4,Service,Per Project,Contract,1
26628,Rice & Pulses,Rajma,Rice & Pulses Support Service - Rajma Option 5,Service,Per Project,Contract,1
26629,Rice & Pulses,Chana,Rice & Pulses Product B - Chana Type 1,Product,Kg,Ton,150
26630,Rice & Pulses,Chana,Rice & Pulses Product C - Chana Type 2,Product,Litre,Barrel,155
26631,Rice & Pulses,Chana,Rice & Pulses Item Premium - Chana Type 3,Product,Piece,Dozen,160
26632,Rice & Pulses,Chana,Rice & Pulses Item Standard - Chana Type 4,Product,Set,Lot,165
26633,Rice & Pulses,Chana,Rice & Pulses Item Economy - Chana Type 5,Product,Meter,Roll,170
26634,Rice & Pulses,Chana,Rice & Pulses Model X1 - Chana Type 6,Product,Box,Carton,175
26635,Rice & Pulses,Chana,Rice & Pulses Model X2 - Chana Type 7,Product,Bag,Pallet,180
26636,Rice & Pulses,Chana,Rice & Pulses Model Pro - Chana Type 8,Product,Unit,Lot,185
26637,Rice & Pulses,Chana,Rice & Pulses Solution Basic - Chana Type 9,Product,License,Subscription,190
26638,Rice & Pulses,Chana,Rice & Pulses Solution Advanced - Chana Type 10,Product,Service,Contract,195
26639,Rice & Pulses,Chana,Rice & Pulses Solution Enterprise - Chana Type 11,Product,Ton,MT,200
26640,Rice & Pulses,Chana,Rice & Pulses Pack Small - Chana Type 12,Product,Pack,Carton,205
26641,Rice & Pulses,Chana,Rice & Pulses Pack Medium - Chana Type 13,Product,Gram,Kg,210
26642,Rice & Pulses,Chana,Rice & Pulses Pack Large - Chana Type 14,Product,Can,Pallet,215
26643,Rice & Pulses,Chana,Rice & Pulses Kit Starter - Chana Type 15,Product,Book,Box,220
26644,Rice & Pulses,Chana,Rice & Pulses Kit Professional - Chana Type 16,Product,Certificate,Lot,225
26645,Rice & Pulses,Chana,Rice & Pulses Standard Service - Chana Option 1,Service,Per Project,Contract,1
26646,Rice & Pulses,Chana,Rice & Pulses Premium Service - Chana Option 2,Service,Per Project,Contract,1
26647,Rice & Pulses,Chana,Rice & Pulses Consultation - Chana Option 3,Service,Per Project,Contract,1
26648,Rice & Pulses,Chana,Rice & Pulses Management Service - Chana Option 4,Service,Per Project,Contract,1
26649,Rice & Pulses,Chana,Rice & Pulses Support Service - Chana Option 5,Service,Per Project,Contract,1
26650,Rice & Pulses,Lobia,Rice & Pulses Product B - Lobia Type 1,Product,Per Acre,Per Season,5
26651,Rice & Pulses,Lobia,Rice & Pulses Product C - Lobia Type 2,Product,Per Day,Monthly,10
26652,Rice & Pulses,Lobia,Rice & Pulses Item Premium - Lobia Type 3,Product,Per Sample,Batch,15
26653,Rice & Pulses,Lobia,Rice & Pulses Item Standard - Lobia Type 4,Product,Per Trip,Contract,20
26654,Rice & Pulses,Lobia,Rice & Pulses Item Economy - Lobia Type 5,Product,Per Formula,Contract,25
26655,Rice & Pulses,Lobia,Rice & Pulses Model X1 - Lobia Type 6,Product,Per Animal,Annual,30
26656,Rice & Pulses,Lobia,Rice & Pulses Model X2 - Lobia Type 7,Product,Sheet,Box,35
26657,Rice & Pulses,Lobia,Rice & Pulses Model Pro - Lobia Type 8,Product,Roll,Pallet,40
26658,Rice & Pulses,Lobia,Rice & Pulses Solution Basic - Lobia Type 9,Product,Sqft,Sqmt,45
26659,Rice & Pulses,Lobia,Rice & Pulses Solution Advanced - Lobia Type 10,Product,Sqmt,Acre,50
26660,Rice & Pulses,Lobia,Rice & Pulses Solution Enterprise - Lobia Type 11,Product,Kg,Ton,55
26661,Rice & Pulses,Lobia,Rice & Pulses Pack Small - Lobia Type 12,Product,Litre,Barrel,60
26662,Rice & Pulses,Lobia,Rice & Pulses Pack Medium - Lobia Type 13,Product,Piece,Dozen,65
26663,Rice & Pulses,Lobia,Rice & Pulses Pack Large - Lobia Type 14,Product,Set,Lot,70
26664,Rice & Pulses,Lobia,Rice & Pulses Kit Starter - Lobia Type 15,Product,Meter,Roll,75
26665,Rice & Pulses,Lobia,Rice & Pulses Kit Professional - Lobia Type 16,Product,Box,Carton,80
26666,Rice & Pulses,Lobia,Rice & Pulses Standard Service - Lobia Option 1,Service,Per Project,Contract,1
26667,Rice & Pulses,Lobia,Rice & Pulses Premium Service - Lobia Option 2,Service,Per Project,Contract,1
26668,Rice & Pulses,Lobia,Rice & Pulses Consultation - Lobia Option 3,Service,Per Project,Contract,1
26669,Rice & Pulses,Lobia,Rice & Pulses Management Service - Lobia Option 4,Service,Per Project,Contract,1
26670,Rice & Pulses,Lobia,Rice & Pulses Support Service - Lobia Option 5,Service,Per Project,Contract,1
26671,Robotics,Industrial Robots,Robotics Product B - Industrial Robots Type 1,Product,Pack,Carton,110
26672,Robotics,Industrial Robots,Robotics Product C - Industrial Robots Type 2,Product,Gram,Kg,115
26673,Robotics,Industrial Robots,Robotics Item Premium - Industrial Robots Type 3,Product,Can,Pallet,120
26674,Robotics,Industrial Robots,Robotics Item Standard - Industrial Robots Type 4,Product,Book,Box,125
26675,Robotics,Industrial Robots,Robotics Item Economy - Industrial Robots Type 5,Product,Certificate,Lot,130
26676,Robotics,Industrial Robots,Robotics Model X1 - Industrial Robots Type 6,Product,Credit,Pack,135
26677,Robotics,Industrial Robots,Robotics Model X2 - Industrial Robots Type 7,Product,Per Filing,Annual,140
26678,Robotics,Industrial Robots,Robotics Model Pro - Industrial Robots Type 8,Product,Per Month,Annual,145
26679,Robotics,Industrial Robots,Robotics Solution Basic - Industrial Robots Type 9,Product,Per Hour,Monthly,150
26680,Robotics,Industrial Robots,Robotics Solution Advanced - Industrial Robots Type 10,Product,Per Project,Contract,155
26681,Robotics,Industrial Robots,Robotics Solution Enterprise - Industrial Robots Type 11,Product,Per Acre,Per Season,160
26682,Robotics,Industrial Robots,Robotics Pack Small - Industrial Robots Type 12,Product,Per Day,Monthly,165
26683,Robotics,Industrial Robots,Robotics Pack Medium - Industrial Robots Type 13,Product,Per Sample,Batch,170
26684,Robotics,Industrial Robots,Robotics Pack Large - Industrial Robots Type 14,Product,Per Trip,Contract,175
26685,Robotics,Industrial Robots,Robotics Kit Starter - Industrial Robots Type 15,Product,Per Formula,Contract,180
26686,Robotics,Industrial Robots,Robotics Kit Professional - Industrial Robots Type 16,Product,Per Animal,Annual,185
26687,Robotics,Industrial Robots,Robotics Standard Service - Industrial Robots Option 1,Service,Per Project,Contract,1
26688,Robotics,Industrial Robots,Robotics Premium Service - Industrial Robots Option 2,Service,Per Project,Contract,1
26689,Robotics,Industrial Robots,Robotics Consultation - Industrial Robots Option 3,Service,Per Project,Contract,1
26690,Robotics,Industrial Robots,Robotics Management Service - Industrial Robots Option 4,Service,Per Project,Contract,1
26691,Robotics,Industrial Robots,Robotics Support Service - Industrial Robots Option 5,Service,Per Project,Contract,1
26692,Robotics,Collaborative Robots,Robotics Product B - Collaborative Robots Type 1,Product,Litre,Barrel,215
26693,Robotics,Collaborative Robots,Robotics Product C - Collaborative Robots Type 2,Product,Piece,Dozen,220
26694,Robotics,Collaborative Robots,Robotics Item Premium - Collaborative Robots Type 3,Product,Set,Lot,225
26695,Robotics,Collaborative Robots,Robotics Item Standard - Collaborative Robots Type 4,Product,Meter,Roll,230
26696,Robotics,Collaborative Robots,Robotics Item Economy - Collaborative Robots Type 5,Product,Box,Carton,235
26697,Robotics,Collaborative Robots,Robotics Model X1 - Collaborative Robots Type 6,Product,Bag,Pallet,240
26698,Robotics,Collaborative Robots,Robotics Model X2 - Collaborative Robots Type 7,Product,Unit,Lot,245
26699,Robotics,Collaborative Robots,Robotics Model Pro - Collaborative Robots Type 8,Product,License,Subscription,250
26700,Robotics,Collaborative Robots,Robotics Solution Basic - Collaborative Robots Type 9,Product,Service,Contract,5
26701,Robotics,Collaborative Robots,Robotics Solution Advanced - Collaborative Robots Type 10,Product,Ton,MT,10
26702,Robotics,Collaborative Robots,Robotics Solution Enterprise - Collaborative Robots Type 11,Product,Pack,Carton,15
26703,Robotics,Collaborative Robots,Robotics Pack Small - Collaborative Robots Type 12,Product,Gram,Kg,20
26704,Robotics,Collaborative Robots,Robotics Pack Medium - Collaborative Robots Type 13,Product,Can,Pallet,25
26705,Robotics,Collaborative Robots,Robotics Pack Large - Collaborative Robots Type 14,Product,Book,Box,30
26706,Robotics,Collaborative Robots,Robotics Kit Starter - Collaborative Robots Type 15,Product,Certificate,Lot,35
26707,Robotics,Collaborative Robots,Robotics Kit Professional - Collaborative Robots Type 16,Product,Credit,Pack,40
26708,Robotics,Collaborative Robots,Robotics Standard Service - Collaborative Robots Option 1,Service,Per Project,Contract,1
26709,Robotics,Collaborative Robots,Robotics Premium Service - Collaborative Robots Option 2,Service,Per Project,Contract,1
26710,Robotics,Collaborative Robots,Robotics Consultation - Collaborative Robots Option 3,Service,Per Project,Contract,1
26711,Robotics,Collaborative Robots,Robotics Management Service - Collaborative Robots Option 4,Service,Per Project,Contract,1
26712,Robotics,Collaborative Robots,Robotics Support Service - Collaborative Robots Option 5,Service,Per Project,Contract,1
26713,Robotics,Service Robots,Robotics Product B - Service Robots Type 1,Product,Per Day,Monthly,70
26714,Robotics,Service Robots,Robotics Product C - Service Robots Type 2,Product,Per Sample,Batch,75
26715,Robotics,Service Robots,Robotics Item Premium - Service Robots Type 3,Product,Per Trip,Contract,80
26716,Robotics,Service Robots,Robotics Item Standard - Service Robots Type 4,Product,Per Formula,Contract,85
26717,Robotics,Service Robots,Robotics Item Economy - Service Robots Type 5,Product,Per Animal,Annual,90
26718,Robotics,Service Robots,Robotics Model X1 - Service Robots Type 6,Product,Sheet,Box,95
26719,Robotics,Service Robots,Robotics Model X2 - Service Robots Type 7,Product,Roll,Pallet,100
26720,Robotics,Service Robots,Robotics Model Pro - Service Robots Type 8,Product,Sqft,Sqmt,105
